,SERIES_NAME,TOTAL_LIABILITIES
251,Schwab Fundamental International Small Company Index ETF,49792011.4
252,Transamerica International Stock,23400226.39
253,iShares Yield Optimized Bond ETF,19482255.35
254,SMALL CAP EQUITY FUND,36638546.37
255,VANGUARD INFORMATION TECHNOLOGY INDEX FUND,55543051.1
256,PIMCO Real Return Portfolio,908775909.45
257,Invesco Dynamic Credit Opportunity Fund,181939879.66
258,iShares Floating Rate Bond ETF,418580018.48
259,BlackRock Global Tactical Strategies Portfolio,790219483.81
260,Disciplined Core Value Fund,56050356.82
261,International Advantage Portfolio,14682729.3
262,THRIVENT GOVERNMENT BOND FUND,11632837.8
263,"Nuveen Municipal Value Fund, Inc.",31530612
264,HCM Dynamic Income Fund,10125386.56
265,"AMG Pantheon Fund, LLC",111443942.66
266,First Trust Small Cap Core AlphaDEX Fund,11844088.8
267,Variable Portfolio - Managed Volatility Moderate Growth Fund,1582567789.89
268,GMO Emerging Country Debt Fund,15266560.89
269,VIP Health Care Portfolio,44897835.81
270,Avantis International Small Cap Value ETF,122861173.29
271,Schwab U.S. Small-Cap ETF,221449732.5
272,"T. Rowe Price Science & Technology Fund, Inc.",71417098.29
273,PGIM Quant Solutions Large-Cap Value Fund,20064000.2
274,Quantified Evolution Plus Fund,34388124.11
275,VA SHORT-TERM FIXED PORTFOLIO,12144665.05
276,Nuveen Quality Municipal Income Fund,2035623679
277,"Pioneer Municipal High Income Opportunities Fund, Inc.",97179105.14
278,Calamos Global Opportunities Fund,12001250.68
279,Invesco Global Allocation Fund,12809029.06
280,Xtrackers International Real Estate ETF,17689227.16
281,International Fund,119092389.9
282,Columbia Global Opportunities Fund,23774370.71
283,Washington Mutual Investors Fund,19684459.04
284,RiverNorth/DoubleLine Strategic Opportunity Fund Inc.,126221531.9
285,WisdomTree International LargeCap Dividend Fund,36033436.92
286,Invesco Rochester New York Municipals Fund,380040329.46
287,Pomona Investment Fund,98973147.32
288,VANGUARD TOTAL INTERNATIONAL BOND II INDEX FUND,1241947186.86
289,LVIP Global Growth Allocation Managed Risk Fund,3525558464.78
290,THRIVENT GOVERNMENT BOND PORTFOLIO,29321553.99
291,Delaware Ivy Asset Strategy Fund,14352990.87
292,PIMCO Moderate Duration Fund,366454585.44
293,Tortoise Power and Energy Infrastructure Fund Inc,25619110.27
294,T. Rowe Price Global Growth Stock Fund,20632284.21
295,PIMCO Total Return Portfolio,2747069062.07
296,Federated Hermes Kaufmann Small Cap Fund,233219976.97
297,Select Bond Portfolio,319025449.15
298,PIMCO Balanced Allocation Portfolio,57365951.19
299,BlackRock California Municipal Opportunities Fund,110359431.4
300,VIP Contrafund Portfolio,36846050.72
301,VANGUARD INTERMEDIATE-TERM BOND INDEX FUND,98147184.17
302,RiverNorth Flexible Municipal Income Fund Inc.,10327106.92
303,"T. Rowe Price Blue Chip Growth Fund, Inc.",44451279.86
304,SPDR MSCI ACWI Climate Paris Aligned ETF,10348472.06
305,Vident Core U.S. Equity Fund,81565986.03
306,,414400675.51
307,Angel Oak Financial Strategies Income Term Trust,140847217.98
308,PIMCO Low Duration Portfolio,352128896.16
309,iShares ESG Aware MSCI USA Small-Cap ETF,101473232.67
310,NVIT Allspring Discovery Fund,10447512.36
311,WisdomTree U.S. Quality Dividend Growth Fund,18685586.28
312,Invesco FTSE RAFI Emerging Markets ETF,14652849.53
313,Transamerica Short-Term Bond,143002440.11
314,AB Small Cap Growth Portfolio,36473045.35
315,HARTFORD ULTRASHORT BOND HLS FUND,10280145.15
316,"CPG Focused Access Fund, LLC",45993049.54237
317,PIMCO StocksPLUS Absolute Return Fund,211231223.25
318,FlexShares Morningstar US Market Factor Tilt Index Fund,170921930.61
319,MassMutual Select T. Rowe Price Real Assets Fund,27090720.29
320,AIP Alternative Lending Fund A,1409771644.79
321,VP Inflation Protection Fund,24695493.51
322,SPDR Portfolio Aggregate Bond ETF,489935066.73
323,MID-CAP INDEX PORTFOLIO,15565144.45
324,Fidelity Small Cap Value Fund,310704021.37
325,AMG Yacktman Focused Fund,37710886.98
326,Fidelity Flex U.S. Bond Index Fund,32464483.19
327,Calamos Market Neutral Income Fund,568979555.99
328,Fidelity SAI U.S. Treasury Bond Index Fund,81115964.46
329,Invesco Developing Markets Fund,289949755.41
330,Janus Henderson Global Life Sciences Fund,30144342
331,GDL Fund,72128591.34
332,Dodge & Cox Balanced Fund,160957590.94
333,THRIVENT LIMITED MATURITY BOND PORTFOLIO,14417151.15
334,Cohen & Steers Real Estate Opportunities & Income Fund,151638467.7
335,PIMCO Low Duration Fund II,110439401.26
336,MFS Mid Cap Growth Fund,43142745.28
337,Nuveen New Jersey Municipal Bond Fund,10074474
338,AZL Enhanced Bond Index Fund,584367732.22
339,Loomis Sayles Securitized Asset Fund,27705427.3
340,Putnam VT Large Cap Growth,10071787.51
341,Ultra Short Income Portfolio,147091434.44
342,Transamerica International Small Cap Value,41967552.32
343,Diversified Income Fund,43910646.16
344,TCW STRATEGIC INCOME FUND INC,72774918.29
345,Eaton Vance Emerging Markets Debt Opportunities Fund,42401371.55
346,PIMCO Emerging Markets Local Currency and Bond Fund,409215359.45
347,BlackRock LifePath Index 2030 Fund,82495048.73
348,Motley Fool 100 Index ETF,25067830.16
349,THRIVENT MODERATELY AGGRESSIVE ALLOCATION PORTFOLIO,119167571.44
350,,5283370869.74
351,Flaherty & Crumrine Dynamic Preferred and Income Fund Incorporated,289223588.53
352,INV CORP SMALL CAP VALUE,15002977.57
353,PSF PGIM Jennison Blend Portfolio,178562786.37
354,First Trust US Equity Opportunities ETF,24965172.29
355,Eaton Vance Short Duration Diversified Income Fund,52086973.86
356,Duff & Phelps Utility & Infrastructure Fund Inc.,176656269.84
357,Redwood Managed Volatility Fund,139235733.06
358,Hartford Multifactor Developed Markets (ex-US) ETF,59535589.03
359,THRIVENT MODERATE ALLOCATION PORTFOLIO,169165840.49
360,EQ/Long-Term Bond Portfolio,41190873.12
361,Strategic Advisers Tax-Sensitive Short Duration Fund,41831583.89
362,DIMENSIONAL EMERGING MARKETS VALUE FUND,323969533.06
363,Invesco FTSE RAFI Developed Markets ex-U.S. Small-Mid ETF,72239210.19
364,U.S. Government Securities Fund,6026447113.87
365,Select Brokerage and Investment Management Portfolio,39220968.96
366,State Street Target Retirement 2030 Fund,64893856.45
367,Fidelity International Bond Index Fund,11469968.76
368,Pioneer Bond VCT Portfolio,19895888.53
369,MassMutual Diversified Bond Fund,19302251.79
370,TEKLA LIFE SCIENCES INVESTORS,10043508.88
371,Invesco S&P 500 Top 50 ETF,39008634.98
372,VANGUARD U.S. GROWTH FUND,18575342.09
373,Fidelity Global Commodity Stock Fund,72901939.76
374,Franklin U.S. Core Bond ETF,15861895.63
375,"U.S. Monthly Income Fund for Puerto Rico Residents, Inc.",14161445.36
376,MetLife Mid Cap Stock Index Portfolio,100289698.07
377,SA Goldman Sachs Global Bond Portfolio,34947928.91
378,Government Opportunities Fund,145228103.26
379,Virtus Convertible & Income 2024 Target Term Fund,77948118.05
380,Xtrackers MSCI USA ESG Leaders Equity ETF,12587651.53
381,The Consumer Staples Select Sector SPDR Fund,31062471.09
382,iShares MSCI Intl Quality Factor ETF,19233360.83
383,The Energy Select Sector SPDR Fund,76642305.91
384,Barings Global Short Duration High Yield Fund,119198530.679
385,"Pioneer Municipal High Income Advantage Fund, Inc.",141040421.83
386,Fidelity Overseas Fund,69851388.35
387,Intermediate Bond Fund of America,5321449956.83
388,iShares Latin America 40 ETF,58787362.74
389,Pioneer Fund,14685812.61
390,Virtus Ceredex Mid-Cap Value Equity Fund,38894376.79
391,Western Asset Core Plus Bond Fund,3792088986.31
392,Fidelity Advisor Series Growth Opportunities Fund,10824249.35
393,Fidelity Intermediate Municipal Income Fund,107405638.26
394,MML Managed Bond Fund,173624833.21
395,BlackRock New York Municipal Opportunities Fund,95177197.2
396,Templeton Global Bond VIP Fund,56424898.97
397,KKR Credit Opportunities Portfolio,263524163.55
398,Lord Abbett Income Fund,138646386.52
399,"PGIM Global High Yield Fund, Inc.",143115023.21
400,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund,14477454.3
401,iShares Expanded Tech Sector ETF,83952195.51
402,JNL iShares Tactical Growth Fund,16344721.58
403,Global X S&P 500 Covered Call ETF,84362393.23
404,Invesco Ultra Short Duration ETF,17333435.73
405,PSF Mid-Cap Growth Portfolio,52610718.46
406,Growth Fund,343792993.39
407,Fidelity Advisor Consumer Discretionary Fund,10433057.37
408,ProShares UltraShort Russell 2000,76883511.88
409,BATS: Series S Portfolio,30207022.37
410,PF Managed Bond Fund,63734162.13
411,Delaware Small Cap Value Fund,11309477.16
412,Innovator U.S. Equity Power Buffer ETF - March,20344912.68
413,Brighthouse Small Cap Value Portfolio,160271402.8
414,iShares Paris-Aligned Climate MSCI USA ETF,12722384.11
415,Janus Henderson High-Yield Fund,12990481
416,VANGUARD DIVIDEND GROWTH FUND,24687494.86
417,Fidelity Mid Cap Value Index Fund,34493447.44
418,First Eagle Global Fund,90388729.26
419,iShares Core U.S. REIT ETF,10885473.72
420,Invesco NASDAQ 100 ETF,172237812.53
421,1290 VT Equity Income Portfolio,10915199.37
422,Fidelity Emerging Markets Index Fund,38179183.71
423,,451174903.71
424,T. Rowe Price U.S. Treasury Long-Term Index Fund,12203255.92
425,Invesco Senior Income Trust,385896058.48
426,Hundredfold Select Alternative Fund,78032192.12
427,THRIVENT AGGRESSIVE ALLOCATION PORTFOLIO,24401458.03
428,BlackRock Core Bond Portfolio,971310296.34
429,THE HARTFORD INFLATION PLUS FUND,78831050.81
430,Eaton Vance Floating-Rate Income Trust,215719392.66
431,MFS INTERMEDIATE HIGH INCOME FUND,16147944.4
432,Counterpoint Tactical Equity Fund,141072977.01
433,Pacer Trendpilot 100 ETF,36236289.53
434,Voya International High Dividend Low Volatility Portfolio,35769739.46
435,Invesco KBW High Dividend Yield Financial ETF,98577988.49
436,Northern Fixed Income Fund,13985441.66
437,VANGUARD TOTAL BOND MARKET INDEX FUND,3477749297.35
438,BlackRock LifePath Dynamic Retirement Fund,29860049.2
439,Brighthouse Balanced Plus Portfolio,497833332.38
440,PACE Small/Medium Co Growth Equity Investments,10647145.14
441,ProShares Ultra MSCI Emerging Markets,29488581.07
442,Etho Climate Leadership U.S. ETF,55906684.07
443,Fidelity SAI Emerging Markets Value Index Fund,22204600.06
444,BrandywineGLOBAL - Global Unconstrained Bond Fund,22354113.65
445,Carillon Reams Core Plus Bond Fund,516930476.24
446,VANGUARD TOTAL INTERNATIONAL BOND INDEX FUND,1057195794.6
447,JPMorgan Inflation Managed Bond ETF,11792035.2
448,PIMCO All Authority: Multi-RAE PLUS Fund,151590696.48
449,American Beacon The London Company Income Equity Fund,42682392.19
450,Pacific Funds Core Income,52959111.27
451,iShares MSCI Hong Kong ETF,12881121.38
452,Putnam Core Bond Fund,31804322.87
453,Fidelity New Markets Income Fund,38985073.65
454,Loomis Sayles Investment Grade Bond Fund,71950575.43
455,AB Small Cap Value Portfolio,11792989.69
456,Fidelity Advisor Semiconductors Fund,28971275.83
457,Neuberger Berman Large Cap Value Fund,82230524.34
458,Fidelity Emerging Asia Fund,30105615.6
459,AXS Market Neutral Fund,26844647.45
460,First Trust Technology AlphaDEX Fund,15649831.13
461,Invesco Main Street Mid Cap Fund,41207172.3
462,Variable Portfolio - U.S. Flexible Conservative Growth Fund,36538650.76
463,MFS Total Return Fund,201356770.87
464,Invesco DWA Energy Momentum ETF,20976914.1
465,"AB SUSTAINABLE GLOBAL THEMATIC FUND, INC.",13977089.04
466,iShares U.S. Treasury Bond ETF,45845710.09
467,Schwab Fundamental U.S. Small Company Index ETF,64819797.81
468,AST T. Rowe Price Growth Opportunities Portfolio,138697928.72
469,Putnam Research Fund,13481975.81
470,PGIM Total Return Bond Fund,8590023614.4
471,Transamerica Small/Mid Cap Value VP,34863158.51
472,Goldman Sachs Variable Insurance Trust U.S. Equity Insights Fund,15778137.5
473,WisdomTree International MidCap Dividend Fund,13858501.66
474,Fidelity Puritan Fund,127862350.62
475,Intermediate-Term Tax-Free Bond Fund,21813225.69
476,AQR Multi-Asset Fund,28643088.76
477,iShares Semiconductor ETF,143781999.93
478,Fixed Income SHares: Series R,171645074.29
479,Stepstone Private Markets,43698914.77
480,JNL Multi-Manager Mid Cap Fund,30051173.18
481,iShares China Large-Cap ETF,45956702.79
482,BlackRock Impact Mortgage Fund,821383115.37
483,TIAA-CREF Core Impact Bond Fund,153667781
484,Lord Abbett Short Duration Core Bond Fund,24304253.29
485,iShares Core Total USD Bond Market ETF,1518682426.81
486,Variable Portfolio - Managed Volatility Growth Fund,1451863480.31
487,Fidelity SAI Municipal Income Fund,10150350.46
488,LVIP American Global Balanced Allocation Managed Risk Fund,749484591.96
489,iShares MSCI Emerging Markets Small-Cap ETF,52771037.26
490,Invesco Global Listed Private Equity ETF,56250064.4
491,Invesco Gold & Special Minerals Fund,28895106.28
492,Global Real Estate Securities Fund,16975735.46
493,T. Rowe Price Spectrum Moderate Allocation Fund,10301812.21
494,Morgan Stanley U.S. Government Securities Trust,47587668.54
495,iShares Core S&P Small-Cap ETF,4181640569.7
496,iShares Russell 2000 ETF,6295499585.91
497,International Investors Gold Fund,11190356.66
498,PGIM Jennison Small Company Fund,378978652.01
499,Natixis Sustainable Future 2040 Fund,14387464.18
500,Victory Trivalent International Small-Cap Fund,78156244.72
501,DoubleLine Income Solutions Fund,402585347.19
502,ETFMG Prime Mobile Payments ETF,140734045.16
503,LVIP Delaware Diversified Income Fund,15771776.34
504,iShares National Muni Bond ETF,42915170.95
505,VANGUARD CONSUMER STAPLES INDEX FUND,24206184.3
506,The Financial Select Sector SPDR Fund,1141528477.98
507,Columbia Select Mid Cap Value Fund,16641183.01
508,First Trust Value Line Dividend Index Fund,13570881.4
509,Strategic Alternatives Fund,39946561.6
510,Transamerica BlackRock iShares Dynamic Allocation - Moderate Growth VP,47709886.03
511,Investment Quality Bond Trust,61473047.95
512,Invesco International Dividend AchieversTM ETF,116862460.4
513,Virtus Income & Growth Fund,12260093.69
514,Fidelity Total Bond K6 Fund,288390670.26
515,SA Franklin BW U.S. Large Cap Value Portfolio,32462985.77
516,Diversified International Fund,78757944.2
517,Fidelity Growth Discovery Fund,89055742.1
518,Third Avenue Value Fund,10733428.9
