,SERIES_NAME,TotalAssets,TotalLiabilities
151,ALPS | OShares Global Internet Giants ETF,152572950.92,59843.66
152,ALPS | OShares U.S. Quality Dividend ETF,749762767.07,1641264.85
153,ALPS | OShares U.S. Small-Cap Quality Dividend ETF,184078444.88,2134531.28
154,ALPS | Red Rocks Global Opportunity Portfolio,22982680.97,166953.96
155,ALPS | Smith Credit Opportunities Fund,289562712.12,11908492.6
156,ALPS | Smith Short Duration Bond Fund,810890562.55,17068791.51
157,ALPS | Smith Total Return Bond Fund,1895486796.16,47125497.82
158,ALTA QUALITY GROWTH FUND,41277388.46,58044.42
159,AMCAP Fund,69198176768.13,324200808.76
160,AMERICAN GROWTH FUND Series One,17152467.6,33596.79
161,AMG Beutel Goodman Core Plus Bond Fund,133820631.65,127006.37
162,AMG Beutel Goodman International Equity Fund,14386194.26,44293.31
163,AMG Boston Common Global Impact Fund,588106651.66,10357070.67
164,AMG Frontier Small Cap Growth Fund,31592679.02,1121790.52
165,AMG GW&K Core Bond ESG Fund,152062871.55,1211011.31
166,AMG GW&K Emerging Markets Equity Fund,21818443.82,88081.61
167,AMG GW&K Emerging Wealth Equity Fund,90141047.92,141450.12
168,AMG GW&K Enhanced Core Bond ESG Fund,41825005.64,1330634.29
169,AMG GW&K Global Allocation Fund,42586084.14,1512138.16
170,AMG GW&K High Income Fund,19472652.45,2205274.34
171,AMG GW&K International Small Cap Fund,33121306.66,1487603.83
172,AMG GW&K Municipal Bond Fund,1097487112.09,8745339.24
173,AMG GW&K Municipal Enhanced Yield Fund,257265832.99,226193.39
174,AMG GW&K Small Cap Value Fund,259993592.97,8744718.7
175,AMG GW&K Small/Mid Cap Fund,574187740.28,10047073.72
176,AMG GW&K Small/Mid Cap Growth Fund,34870124.79,299581.18
177,AMG Montrusco Bolton Large Cap Growth Fund,208951294.99,204257.41
178,"AMG Pantheon Master Fund, LLC",1546578909.59,9686292.35
179,AMG River Road Dividend All Cap Value Fund,342978980.77,4535981.1
180,AMG River Road Focused Absolute Value Fund,63333047.89,79748.38
181,AMG River Road Mid Cap Value Fund,342284926.1,5328847.82
182,AMG River Road Small Cap Value Fund,910460993.95,891257.75
183,AMG River Road Small-Mid Cap Value Fund,265735382.76,451104.61
184,AMG TimesSquare Global Small Cap Fund,1757191.04,54243.42
185,AMG TimesSquare International Small Cap Fund,442880097.34,4188162.32
186,AMG TimesSquare Mid Cap Growth Fund,1160593116.03,22966290.9
187,AMG Veritas Asia Pacific Fund,114774942.46,1625024.53
188,AMG Veritas China Fund,77816756.18,143957.49
189,AMG Veritas Global Focus Fund,31132083.73,52846.16
190,AMG Veritas Global Real Return Fund,111716231.33,5897462.27
191,AMG Yacktman Focused Fund,3553071729.91,13647152.19
192,AMG Yacktman Global Fund,151044659.88,194237.13
193,AMT Diversified Equity Fund,142262.25,0
194,AOG Institutional Diversified Fund,53369445.96,100905.88
195,AOT Growth and Innovation ETF,20081732.39,11798.89
196,APPLESEED FUND,79568443.48,103215.41
197,AQR Alternative Risk Premia Fund,400869680.75,239326612.92
198,AQR Diversified Arbitrage Fund,1655829813.52,115793850.61
199,AQR Diversifying Strategies Fund,185313374.49,41820.86
200,AQR Emerging Multi-Style II Fund,482038103.95,1164555.06
201,AQR Equity Market Neutral Fund,190649895.12,10238856.28
202,AQR Global Equity Fund,292493447.65,3655577.52
203,AQR International Defensive Style Fund,271132610.4,138821.07
204,AQR International Momentum Style Fund,353004230.1,219797.46
205,AQR International Multi-Style Fund,427256958.46,226508.83
206,AQR Large Cap Momentum Style Fund,711242423.66,297320.16
207,AQR Long-Short Equity Fund,581395441.59,13628939.42
208,AQR Macro Opportunities Fund,184615497.83,6712357.17
209,AQR Managed Futures Strategy HV Fund,187580019.33,8094490.35
210,AQR Multi-Asset Fund,163092921.4,20093083.19
211,AQR Small Cap Momentum Style Fund,211477588.31,127433.19
212,AQR Small Cap Multi-Style Fund,115532693.32,81980.05
213,AQR Sustainable Long-Short Equity Carbon Aware Fund,25393810.63,711349.67
214,ARGA Emerging Markets Value Fund,433505029.2,506483.61
215,ARGA International Value Fund,3152875.56,27424.8
216,ARK Autonomous Technology & Robotics ETF,930726233.4,4547672.02
217,ARK Fintech Innovation ETF,874677825.05,14327339.51
218,ARK Genomic Revolution ETF,2258376790.16,10923712.84
219,ARK Israel Innovative Technology ETF,105064157.58,42627.17
220,ARK Space Exploration & Innovation ETF,282587871.94,170378.56
221,ARK Venture Fund,13023373.83,276387.03
222,ASA GOLD & PRECIOUS METALS LTD,326118765.36,707847.96
223,ASIA PACIFIC SMALL COMPANY PORTFOLIO,238776597.41,68254.06
224,AST American Funds Growth Allocation Portfolio,491537864.19,84624.41
225,AST Balanced Asset Allocation Portfolio,11131126742.89,178455139.85
226,AST BlackRock 60/40 Target Allocation ETF Portfolio,129802440.21,21349836.89
227,AST BlackRock 80/20 Target Allocation ETF Portfolio,174381253.96,36118562.95
228,AST BlackRock Global Strategies Portfolio,2019992878.31,424423319.82
229,AST Bond Portfolio 2022,1441198.96,52118.22
230,AST Bond Portfolio 2023,136207966.7,348814.06
231,AST Bond Portfolio 2024,6072864.68,61123.09
232,AST Bond Portfolio 2025,7045778.24,189314.9
233,AST Bond Portfolio 2026,27035113.78,86298.64
234,AST Bond Portfolio 2028,102451284.9,110507.96
235,AST Bond Portfolio 2029,9377093.37,47838.5
236,AST Bond Portfolio 2030,58593207.9,67621.72
237,AST Bond Portfolio 2031,93528416.08,69828.71
238,AST Bond Portfolio 2033,4777000.75,35398.57
239,AST Capital Growth Asset Allocation Portfolio,10647208310.44,181256827.34
240,AST ClearBridge Dividend Growth Portfolio,851108174.39,43207576.79
241,AST Cohen & Steers Global Realty Portfolio,64812887.76,104847.27
242,AST Cohen & Steers Realty Portfolio,457558835.78,24422752.39
243,AST Core Fixed Income Portfolio,4875654453.21,999611407.48
244,AST Emerging Markets Equity Portfolio,256766941.8,13130805.27
245,AST Franklin 85/15 Diversified Allocation Portfolio,335869068.66,9814516.41
246,AST Global Bond Portfolio,348510644.7,32547928.49
247,AST Investment Grade Bond Portfolio,15908928036.03,513679256.36
248,AST J.P. Morgan Global Thematic Portfolio,2215123050.54,51795933.06
249,AST J.P. Morgan Tactical Preservation Portfolio,2851114405.63,42750045.93
250,AST Large-Cap Core Portfolio,365779812.64,7242152.97
251,AST Large-Cap Growth Portfolio,4363980413.87,236815051.86
252,AST Large-Cap Value Portfolio,2939348833.38,150105013.05
253,AST MFS Global Equity Portfolio,584777627.8,42672459.44
254,AST MFS Growth Allocation Portfolio,798721827.22,58960683.17
255,AST Mid-Cap Growth Portfolio,811559561.88,4326525.92
256,AST Multi-Sector Fixed Income Portfolio,12301909944.15,307536182.15
257,AST PGIM Fixed Income Central Portfolio,7099741696.79,803047478.87
258,AST Preservation Asset Allocation Portfolio,3652418700.13,97512261.38
259,AST Prudential Flexible Multi-Strategy Portfolio,106196607.43,5263640.84
260,AST Prudential Growth Allocation Portfolio,11112250290.31,301527280.3
261,AST QMA International Core Equity Portfolio,11395403.36,846826.45
262,AST Small-Cap Growth Portfolio,1236745827.83,184529470.79
263,AST Small-Cap Value Portfolio,1220633999.85,177370613.97
264,AST T. Rowe Price Asset Allocation Portfolio,14406513736.61,1153641049.39
265,AST T. Rowe Price Fixed Income Central Portfolio,2129001786.13,104881014.99
266,AST T. Rowe Price Growth Opportunities Portfolio,1901339267.22,102176515.37
267,AST T. Rowe Price Natural Resources Portfolio,426241258.33,35390507.31
268,AST Target Maturity Central Portfolio,644725041.36,62928097.61
269,AST Western Asset Emerging Markets Debt Portfolio,50274154.44,2544966.71
270,ASYMshares ASYMmetric S&P 500 ETF,26334507.94,252705.12
271,ATAC Credit Rotation ETF,5478027.28,392281.61
272,ATAC Rotation Fund,82289532.24,239262.31
273,ATAC US Rotation ETF,11125175.92,3703901.35
274,ATM International Managed Volatility Portfolio,1313534614,16602495.44
275,ATM Large Cap Managed Volatility Portfolio,2540862390.64,2618498.04
276,ATM Mid Cap Managed Volatility Portfolio,289200103.67,3491018.6
277,ATM Small Cap Managed Volatility Portfolio,990714014.88,45256229.26
278,AUER GROWTH,40937978.82,81526.93
279,AUXIER FOCUS FUND,266895495.35,3555869.57
280,AVE MARIA BOND FUND,513276724.28,691478.48
281,AVE MARIA VALUE FUND,371862736.68,790880.87
282,AXS 1.25X NVDA Bear Daily ETF,23710701,14038010.08
283,AXS 1.5X PYPL Bear Daily ETF,2724698.91,1754876.07
284,AXS 2X Innovation ETF,100747302.21,47303203.32
285,AXS 2X NKE Bear Daily ETF,5916162.04,4908500.78
286,AXS 2X PFE Bear Daily ETF,3789078.51,2926819.86
287,AXS 2X PFE Bull Daily ETF,1852180.89,619299.86
288,AXS Adaptive Plus Fund,18421910.57,63935.9
289,AXS All Terrain Opportunity Fund,479685.15,48092.97
290,AXS Alternative Value Fund,33986112.69,5767949.83
291,AXS Astoria Inflation Sensitive ETF,61255575.08,395533.26
292,AXS Brendan Wood TopGun Index ETF,1482086.22,1486.54
293,AXS Change Finance ESG ETF,114804051.29,0
294,AXS Chesapeake Strategy Fund,58787067.28,93287.32
295,AXS De-SPAC ETF,549782.5,39436.66
296,AXS Esoterica NextG Economy ETF,18351022.6,86857.91
297,AXS FOMO ETF,3724305.69,21981.17
298,AXS First Priority CLO Bond ETF,7403823.29,0
299,AXS Green Alpha ETF,52451522.26,98837.07
300,AXS Income Opportunities Fund,123207555.45,11191230.49
301,AXS Market Neutral Fund,55858797.7,24380058.93
302,AXS Multi-Strategy Alternatives Fund,18517946.78,59643.29
303,AXS Short De-SPAC Daily ETF,58053115,45390840.76
304,AXS Short Innovation Daily ETF,531362219.63,273584064.04
305,AXS Sustainable Income Fund,1581402.2,88513.17
306,AXS TSLA Bear Daily ETF,247594113.66,160181768.42
307,AXS Thomson Reuters Private Equity Return Tracker Fund,14075358.08,89191.14
308,AXS Thomson Reuters Venture Capital Return Tracker Fund,104630650.71,591605.17
309,AZL Balanced Index Strategy Fund,343215187.71,35457.11
310,AZL DFA Five-Year Global Fixed Income Fund,341011757.02,11324634.78
311,AZL DFA International Core Equity Fund,194704449.08,2597959.95
312,AZL DFA Multi-Strategy Fund,723519687.35,67028.62
313,AZL DFA U.S. Core Equity Fund,382434720.14,898885.43
314,AZL DFA U.S. Small Cap Fund,117064431.43,178229.52
315,AZL Enhanced Bond Index Fund,2323384741.78,235351911.43
316,AZL Fidelity Institutional Asset Management Multi-Strategy Fund,1575583611.72,180256856.26
317,AZL Gateway Fund,112808071.72,2142294.99
318,AZL International Index Fund,1311314438.13,17615245.25
319,AZL MSCI Emerging Markets Equity Index Fund,179331426.01,1741001.48
320,AZL MSCI Global Equity Index Fund,374919908.6,2593693.86
321,AZL MVP DFA Multi-Strategy Fund,78490145.43,23032.07
322,AZL MVP Fidelity Institutional Asset Management Multi-Strategy Fund,182444697.03,30630.45
323,AZL MVP Fusion Balanced Fund,583588713.44,100363.12
324,AZL MVP Fusion Moderate Fund,1351313953.87,232616.63
325,AZL MVP Global Balanced Index Strategy Fund,518009614.72,80038.82
326,AZL MVP Moderate Index Strategy Fund,392129590.29,49331.81
327,AZL MVP T Rowe Price Capital Appreciation Plus Fund,1152641849.41,139447.93
328,AZL Mid Cap Index Fund,844027007.07,2367813.96
329,AZL Moderate Index Strategy Fund,1433786258.03,308068.01
330,AZL Russell 1000 Growth Index Fund,702318120.68,1242422.41
331,AZL Russell 1000 Value Index Fund,930349650.77,2420597.27
332,AZL Small Cap Stock Index Fund,623776180.1,3450792.7
333,AZL T Rowe Price Capital Appreciation Fund,1084522486.49,7590306.92
334,Abbey Capital Futures Strategy Fund,2857036282.26,4856230.52
335,Abbey Capital Multi-Asset Fund,427452208.65,1206136.31
336,Abraham Fortress Fund,49037053.76,78353.93
337,Absolute Capital Asset Allocator Fund,30095252.05,75608.09
338,Absolute Capital Defender Fund,23275304.64,55306.87
339,Acadian Emerging Markets Portfolio,675506753.62,3087498.73
340,Access Capital Community Investment Fund,691330751.52,6654242.13
341,Acclivity Mid Cap Multi-Style Fund,520796.15,57342.52
342,Acclivity Small Cap Value Fund,15651237.93,204146.27
343,Acruence Active Hedge U.S. Equity ETF,12091165.31,8902.7
344,Active M Emerging Markets Equity Fund,156851496.91,1371303.27
345,Active M International Equity Fund,445051172.06,681703.77
346,Adaptiv Select ETF,54479275.47,26768384.07
347,Adaptive Alpha Opportunities ETF,177060856.15,140654.57
348,Adaptive Core ETF,78260496.59,66950.15
349,Adara Smaller Companies Fund,453399563.98,1804659.49
350,Adasina Social Justice All Cap Global ETF,115536396.4,7626850.13
351,"Advantage Advisers Xanthus Fund, L.L.C.",2861857498,1046583736
352,Advantage CoreAlpha Bond Master Portfolio,1421344748.39,382638745.94
353,Advantage Portfolio,193676772.55,995222.2
354,AdvisorShares Dorsey Wright ADR ETF,37238502.63,3620613.43
355,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,36193461.2,541440.95
356,AdvisorShares Dorsey Wright FSM US Core ETF,107914457.61,28991834.07
357,AdvisorShares Dorsey Wright Micro-Cap ETF,5068353.14,179116.79
358,AdvisorShares Dorsey Wright Short ETF,76759748.29,36989926.76
359,AdvisorShares Drone Technology ETF,457135.06,61413.17
360,AdvisorShares Focused Equity ETF,32599754.9,173626.1
361,AdvisorShares Gerber Kawasaki ETF,14866573.39,665733.92
362,AdvisorShares Hotel ETF,4766673.01,77346.65
363,AdvisorShares Insider Advantage ETF,39875872.92,488853.52
364,AdvisorShares Let Bob AI Powered Momentum ETF,25870337.38,60287.67
365,AdvisorShares MSOS 2x Daily ETF,4429608.63,25982.31
366,AdvisorShares Managed Bitcoin Strategy ETF,251730.78,68883.68
367,AdvisorShares Newfleet Multi-Sector Income ETF,23923195.54,311908.33
368,AdvisorShares North Square McKee Core Reserves ETF,31727782.75,94104.78
369,AdvisorShares Poseidon Dynamic Cannabis ETF,5291774.58,2017857.63
370,AdvisorShares Psychedelics ETF,6120679.42,113123.95
371,AdvisorShares Pure Cannabis ETF,79479389.03,29848974
372,AdvisorShares Pure US Cannabis ETF,958734550.87,513026415.06
373,AdvisorShares Q Dynamic Growth ETF,28756931.95,1124443.13
374,AdvisorShares Ranger Equity Bear ETF,341406813.53,178021179.09
375,AdvisorShares STAR Global Buy-Write ETF,44550774.13,6597874.57
376,AdvisorShares Vice ETF,8822344.91,414943.23
377,Advisors Capital Active All Cap Fund,2392389.21,2340.74
378,Advisors Capital Small/Mid Cap Fund,42679069.14,88938.98
379,Advisors Capital US Dividend Fund,101116864.35,237494.29
380,Advocate Rising Rate Hedge ETF,35194104.09,219735.79
381,Affinity World Leaders Equity ETF,37764537.97,79453.08
382,Aggressive Allocation Fund,39844710.33,109024.7
383,Aggressive Balanced Allocation Portfolio,956914.68,8071.66
384,Aggressive Growth Allocation Fund,445677.83,0
385,Aggressive Growth Fund,1509252383.34,956526.77
386,Aggressive Growth Lifestyle Fund,636965741.23,141323.13
387,Aggressive Investors 1 Fund,140578397.19,1920028.09
388,Agility Multi-Asset Income Fund,95117887.80071,14493522.70648
389,Agility Shares Dynamic Tactical Income ETF,41741368.68,138384.97
390,Agility Shares Managed Risk ETF,43100788.51,860340.31
391,Akre Focus Fund,13076557970.34,14710939.57
392,Al Frank Fund,64709313.03,98526.05
393,Alerian Energy Infrastructure ETF,142124723.5,39050.59
394,Alerian MLP ETF,6937234192.96,271039042.47
395,Alexis Practical Tactical ETF,55192652.15,37153.91
396,Alger 35 Fund,26973017.59,648022.08
397,Alger Balanced Portfolio,52228636.11,122093.18
398,Alger Capital Appreciation Fund,1736789160.2,14979507.19
399,Alger Capital Appreciation Institutional Fund,2135233835.89,21032078.84
400,Alger Capital Appreciation Portfolio,355034022.03,2166371.1
401,Alger Dynamic Opportunities Fund,656750827.63,188487164.31
402,Alger Emerging Markets Fund,29022905.33,511526.68
403,Alger Focus Equity Fund,1112142913.08,10132624.41
404,Alger Growth & Income Fund,302071642.55,376969.6
405,Alger Large Cap Growth Portfolio,241651865.62,299337.86
406,Alger Mid Cap 40 ETF,29480908.09,843022.48
407,Alger Mid Cap Focus Fund,413507132.23,844465.7
408,Alger Mid Cap Growth Institutional Fund,59876025.71,419622.9
409,Alger Mid Cap Growth Portfolio,117666271.55,423246.82
410,Alger Responsible Investing Fund,68315053.72,254292.12
411,Alger Small Cap Focus Fund,2598836318.27,26060974.82
412,Alger Small Cap Growth Fund,375570314.36,1932133.41
413,Alger Small Cap Growth Institutional Fund,171968476.05,1399133.54
414,Alger Small Cap Growth Portfolio,149071116.59,307517.03
415,Alger Spectra Fund,3222471904.13,212362391.48
416,Alger Weatherbie Enduring Growth Fund,4674458.93,40539.82
417,Alger Weatherbie Specialized Growth Fund,759226889.86,5626025
418,Alger Weatherbie Specialized Growth Portfolio,1174742.48,26214.42
419,AllianceBernstein Global High Income Fund Inc,932897926.92,38300930.41
420,AllianzIM U.S. Large Cap 6 Month Buffer10 Apr/Oct ETF,36418642.32,1340940.77
421,AllianzIM U.S. Large Cap Buffer10 Apr ETF,19227964.75,592476.74
422,AllianzIM U.S. Large Cap Buffer10 Dec ETF,24040537.47,796210.29
423,AllianzIM U.S. Large Cap Buffer10 Feb ETF,5000000,0
424,AllianzIM U.S. Large Cap Buffer10 Jan ETF,79987301.91,2867146.02
425,AllianzIM U.S. Large Cap Buffer10 Nov ETF,18221937.68,475020.29
426,AllianzIM U.S. Large Cap Buffer10 Oct ETF,70390940.24,2101082.25
427,AllianzIM U.S. Large Cap Buffer20 Apr ETF,63709571.67,727410.16
428,AllianzIM U.S. Large Cap Buffer20 Dec ETF,106573502.7,3090688.25
429,AllianzIM U.S. Large Cap Buffer20 Feb ETF,5000000,0
430,AllianzIM U.S. Large Cap Buffer20 Jan ETF,104106803.66,5274999.44
431,AllianzIM U.S. Large Cap Buffer20 Jul ETF,136580673.82,4421682.59
432,AllianzIM U.S. Large Cap Buffer20 Nov ETF,37803293.02,1245049.71
433,AllianzIM U.S. Large Cap Buffer20 Oct ETF,172407206.92,10446651.9
434,Allspring Adjustable Rate Government Fund,392346218.84,838890.66
435,Allspring Alternative Risk Premia Fund,40212790.93,1149208.66
436,Allspring Asset Allocation Fund,1406480850.95,1903537.33
437,Allspring Bloomberg US Aggregate ex-Corporate Portfolio,265743210.1,3991632.63
438,Allspring C&B Large Cap Value Fund,232662850.87,33138.68
