SERIES_NAME,TotalLiabilities,TotalAssets
ARGA International Value Fund,27424.8,3152875.56
ARK Autonomous Technology & Robotics ETF,4547672.02,930726233.4
ARK Fintech Innovation ETF,14327339.51,874677825.05
ARK Genomic Revolution ETF,10923712.84,2258376790.16
ARK Israel Innovative Technology ETF,42627.17,105064157.58
ARK Space Exploration & Innovation ETF,170378.56,282587871.94
ARK Venture Fund,276387.03,13023373.83
ASA GOLD & PRECIOUS METALS LTD,707847.96,326118765.36
ASIA PACIFIC SMALL COMPANY PORTFOLIO,68254.06,238776597.41
AST American Funds Growth Allocation Portfolio,84624.41,491537864.19
AST Balanced Asset Allocation Portfolio,178455139.85,11131126742.89
AST BlackRock 60/40 Target Allocation ETF Portfolio,21349836.89,129802440.21
AST BlackRock 80/20 Target Allocation ETF Portfolio,36118562.95,174381253.96
AST BlackRock Global Strategies Portfolio,424423319.82,2019992878.31
AST Bond Portfolio 2022,52118.22,1441198.96
AST Bond Portfolio 2023,348814.06,136207966.7
AST Bond Portfolio 2024,61123.09,6072864.68
AST Bond Portfolio 2025,189314.9,7045778.24
AST Bond Portfolio 2026,86298.64,27035113.78
AST Bond Portfolio 2028,110507.96,102451284.9
AST Bond Portfolio 2029,47838.5,9377093.37
AST Bond Portfolio 2030,67621.72,58593207.9
AST Bond Portfolio 2031,69828.71,93528416.08
AST Bond Portfolio 2033,35398.57,4777000.75
AST Capital Growth Asset Allocation Portfolio,181256827.34,10647208310.44
AST ClearBridge Dividend Growth Portfolio,43207576.79,851108174.39
AST Cohen & Steers Global Realty Portfolio,104847.27,64812887.76
AST Cohen & Steers Realty Portfolio,24422752.39,457558835.78
AST Core Fixed Income Portfolio,999611407.48,4875654453.21
AST Emerging Markets Equity Portfolio,13130805.27,256766941.8
AST Franklin 85/15 Diversified Allocation Portfolio,9814516.41,335869068.66
AST Global Bond Portfolio,32547928.49,348510644.7
AST Investment Grade Bond Portfolio,513679256.36,15908928036.03
AST J.P. Morgan Global Thematic Portfolio,51795933.06,2215123050.54
AST J.P. Morgan Tactical Preservation Portfolio,42750045.93,2851114405.63
AST Large-Cap Core Portfolio,7242152.97,365779812.64
AST Large-Cap Growth Portfolio,236815051.86,4363980413.87
AST Large-Cap Value Portfolio,150105013.05,2939348833.38
AST MFS Global Equity Portfolio,42672459.44,584777627.8
AST MFS Growth Allocation Portfolio,58960683.17,798721827.22
AST Mid-Cap Growth Portfolio,4326525.92,811559561.88
AST Multi-Sector Fixed Income Portfolio,307536182.15,12301909944.15
AST PGIM Fixed Income Central Portfolio,803047478.87,7099741696.79
AST Preservation Asset Allocation Portfolio,97512261.38,3652418700.13
AST Prudential Flexible Multi-Strategy Portfolio,5263640.84,106196607.43
AST Prudential Growth Allocation Portfolio,301527280.3,11112250290.31
AST QMA International Core Equity Portfolio,846826.45,11395403.36
AST Small-Cap Growth Portfolio,184529470.79,1236745827.83
AST Small-Cap Value Portfolio,177370613.97,1220633999.85
AST T. Rowe Price Asset Allocation Portfolio,1153641049.39,14406513736.61
AST T. Rowe Price Fixed Income Central Portfolio,104881014.99,2129001786.13
AST T. Rowe Price Growth Opportunities Portfolio,102176515.37,1901339267.22
AST T. Rowe Price Natural Resources Portfolio,35390507.31,426241258.33
AST Target Maturity Central Portfolio,62928097.61,644725041.36
AST Western Asset Emerging Markets Debt Portfolio,2544966.71,50274154.44
ASYMshares ASYMmetric S&P 500 ETF,252705.12,26334507.94
ATAC Credit Rotation ETF,392281.61,5478027.28
ATAC Rotation Fund,239262.31,82289532.24
ATAC US Rotation ETF,3703901.35,11125175.92
ATM International Managed Volatility Portfolio,16602495.44,1313534614.0
ATM Large Cap Managed Volatility Portfolio,2618498.04,2540862390.64
ATM Mid Cap Managed Volatility Portfolio,3491018.6,289200103.67
ATM Small Cap Managed Volatility Portfolio,45256229.26,990714014.88
AUER GROWTH,81526.93,40937978.82
AUXIER FOCUS FUND,3555869.57,266895495.35
AVE MARIA BOND FUND,691478.48,513276724.28
AVE MARIA VALUE FUND,790880.87,371862736.68
AXS 1.25X NVDA Bear Daily ETF,14038010.08,23710701.0
AXS 1.5X PYPL Bear Daily ETF,1754876.07,2724698.91
AXS 2X Innovation ETF,47303203.32,100747302.21
AXS 2X NKE Bear Daily ETF,4908500.78,5916162.04
AXS 2X PFE Bear Daily ETF,2926819.86,3789078.51
AXS 2X PFE Bull Daily ETF,619299.86,1852180.89
AXS Adaptive Plus Fund,63935.9,18421910.57
AXS All Terrain Opportunity Fund,48092.97,479685.15
AXS Alternative Value Fund,5767949.83,33986112.69
AXS Astoria Inflation Sensitive ETF,395533.26,61255575.08
AXS Brendan Wood TopGun Index ETF,1486.54,1482086.22
AXS Change Finance ESG ETF,0.0,114804051.29
AXS Chesapeake Strategy Fund,93287.32,58787067.28
AXS De-SPAC ETF,39436.66,549782.5
AXS Esoterica NextG Economy ETF,86857.91,18351022.6
AXS FOMO ETF,21981.17,3724305.69
AXS First Priority CLO Bond ETF,0.0,7403823.29
AXS Green Alpha ETF,98837.07,52451522.26
AXS Income Opportunities Fund,11191230.49,123207555.45
AXS Market Neutral Fund,24380058.93,55858797.7
AXS Multi-Strategy Alternatives Fund,59643.29,18517946.78
AXS Short De-SPAC Daily ETF,45390840.76,58053115.0
AXS Short Innovation Daily ETF,273584064.04,531362219.63
AXS Sustainable Income Fund,88513.17,1581402.2
AXS TSLA Bear Daily ETF,160181768.42,247594113.66
AXS Thomson Reuters Private Equity Return Tracker Fund,89191.14,14075358.08
AXS Thomson Reuters Venture Capital Return Tracker Fund,591605.17,104630650.71
AZL Balanced Index Strategy Fund,35457.11,343215187.71
AZL DFA Five-Year Global Fixed Income Fund,11324634.78,341011757.02
AZL DFA International Core Equity Fund,2597959.95,194704449.08
AZL DFA Multi-Strategy Fund,67028.62,723519687.35
AZL DFA U.S. Core Equity Fund,898885.43,382434720.14
AZL DFA U.S. Small Cap Fund,178229.52,117064431.43
AZL Enhanced Bond Index Fund,235351911.43,2323384741.78
AZL Fidelity Institutional Asset Management Multi-Strategy Fund,180256856.26,1575583611.72
AZL Gateway Fund,2142294.99,112808071.72
AZL International Index Fund,17615245.25,1311314438.13
AZL MSCI Emerging Markets Equity Index Fund,1741001.48,179331426.01
AZL MSCI Global Equity Index Fund,2593693.86,374919908.6
AZL MVP DFA Multi-Strategy Fund,23032.07,78490145.43
AZL MVP Fidelity Institutional Asset Management Multi-Strategy Fund,30630.45,182444697.03
AZL MVP Fusion Balanced Fund,100363.12,583588713.44
AZL MVP Fusion Moderate Fund,232616.63,1351313953.87
AZL MVP Global Balanced Index Strategy Fund,80038.82,518009614.72
AZL MVP Moderate Index Strategy Fund,49331.81,392129590.29
AZL MVP T Rowe Price Capital Appreciation Plus Fund,139447.93,1152641849.41
AZL Mid Cap Index Fund,2367813.96,844027007.07
AZL Moderate Index Strategy Fund,308068.01,1433786258.03
AZL Russell 1000 Growth Index Fund,1242422.41,702318120.68
AZL Russell 1000 Value Index Fund,2420597.27,930349650.77
AZL Small Cap Stock Index Fund,3450792.7,623776180.1
AZL T Rowe Price Capital Appreciation Fund,7590306.92,1084522486.49
Abbey Capital Futures Strategy Fund,4856230.52,2857036282.26
Abbey Capital Multi-Asset Fund,1206136.31,427452208.65
Abraham Fortress Fund,78353.93,49037053.76
Absolute Capital Asset Allocator Fund,75608.09,30095252.05
Absolute Capital Defender Fund,55306.87,23275304.64
Acadian Emerging Markets Portfolio,3087498.73,675506753.62
Access Capital Community Investment Fund,6654242.13,691330751.52
Acclivity Mid Cap Multi-Style Fund,57342.52,520796.15
Acclivity Small Cap Value Fund,204146.27,15651237.93
Acruence Active Hedge U.S. Equity ETF,8902.7,12091165.31
Active M Emerging Markets Equity Fund,1371303.27,156851496.91
Active M International Equity Fund,681703.77,445051172.06
Adaptiv Select ETF,26768384.07,54479275.47
Adaptive Alpha Opportunities ETF,140654.57,177060856.15
Adaptive Core ETF,66950.15,78260496.59
Adara Smaller Companies Fund,1804659.49,453399563.98
Adasina Social Justice All Cap Global ETF,7626850.13,115536396.4
"Advantage Advisers Xanthus Fund, L.L.C.",1046583736.0,2861857498.0
Advantage CoreAlpha Bond Master Portfolio,382638745.94,1421344748.39
Advantage Portfolio,995222.2,193676772.55
AdvisorShares Dorsey Wright ADR ETF,3620613.43,37238502.63
AdvisorShares Dorsey Wright Alpha Equal Weight ETF,541440.95,36193461.2
AdvisorShares Dorsey Wright FSM US Core ETF,28991834.07,107914457.61
AdvisorShares Dorsey Wright Micro-Cap ETF,179116.79,5068353.14
AdvisorShares Dorsey Wright Short ETF,36989926.76,76759748.29
AdvisorShares Drone Technology ETF,61413.17,457135.06
AdvisorShares Focused Equity ETF,173626.1,32599754.9
AdvisorShares Gerber Kawasaki ETF,665733.92,14866573.39
AdvisorShares Hotel ETF,77346.65,4766673.01
AdvisorShares Insider Advantage ETF,488853.52,39875872.92
AdvisorShares Let Bob AI Powered Momentum ETF,60287.67,25870337.38
AdvisorShares MSOS 2x Daily ETF,25982.31,4429608.63
AdvisorShares Managed Bitcoin Strategy ETF,68883.68,251730.78
AdvisorShares Newfleet Multi-Sector Income ETF,311908.33,23923195.54
AdvisorShares North Square McKee Core Reserves ETF,94104.78,31727782.75
AdvisorShares Poseidon Dynamic Cannabis ETF,2017857.63,5291774.58
AdvisorShares Psychedelics ETF,113123.95,6120679.42
AdvisorShares Pure Cannabis ETF,29848974.0,79479389.03
AdvisorShares Pure US Cannabis ETF,513026415.06,958734550.87
AdvisorShares Q Dynamic Growth ETF,1124443.13,28756931.95
AdvisorShares Ranger Equity Bear ETF,178021179.09,341406813.53
AdvisorShares STAR Global Buy-Write ETF,6597874.57,44550774.13
AdvisorShares Vice ETF,414943.23,8822344.91
Advisors Capital Active All Cap Fund,2340.74,2392389.21
Advisors Capital Small/Mid Cap Fund,88938.98,42679069.14
Advisors Capital US Dividend Fund,237494.29,101116864.35
Advocate Rising Rate Hedge ETF,219735.79,35194104.09
Affinity World Leaders Equity ETF,79453.08,37764537.97
Aggressive Allocation Fund,109024.7,39844710.33
Aggressive Balanced Allocation Portfolio,8071.66,956914.68
Aggressive Growth Allocation Fund,0.0,445677.83
Aggressive Growth Fund,956526.77,1509252383.34
Aggressive Growth Lifestyle Fund,141323.13,636965741.23
Aggressive Investors 1 Fund,1920028.09,140578397.19
Agility Multi-Asset Income Fund,14493522.70648,95117887.80071
Agility Shares Dynamic Tactical Income ETF,138384.97,41741368.68
Agility Shares Managed Risk ETF,860340.31,43100788.51
Akre Focus Fund,14710939.57,13076557970.34
Al Frank Fund,98526.05,64709313.03
Alerian Energy Infrastructure ETF,39050.59,142124723.5
Alerian MLP ETF,271039042.47,6937234192.96
Alexis Practical Tactical ETF,37153.91,55192652.15
Alger 35 Fund,648022.08,26973017.59
Alger Balanced Portfolio,122093.18,52228636.11
Alger Capital Appreciation Fund,14979507.19,1736789160.2
Alger Capital Appreciation Institutional Fund,21032078.84,2135233835.89
Alger Capital Appreciation Portfolio,2166371.1,355034022.03
Alger Dynamic Opportunities Fund,188487164.31,656750827.63
Alger Emerging Markets Fund,511526.68,29022905.33
Alger Focus Equity Fund,10132624.41,1112142913.08
Alger Growth & Income Fund,376969.6,302071642.55
Alger Large Cap Growth Portfolio,299337.86,241651865.62
Alger Mid Cap 40 ETF,843022.48,29480908.09
Alger Mid Cap Focus Fund,844465.7,413507132.23
Alger Mid Cap Growth Institutional Fund,419622.9,59876025.71
Alger Mid Cap Growth Portfolio,423246.82,117666271.55
Alger Responsible Investing Fund,254292.12,68315053.72
Alger Small Cap Focus Fund,26060974.82,2598836318.27
Alger Small Cap Growth Fund,1932133.41,375570314.36
Alger Small Cap Growth Institutional Fund,1399133.54,171968476.05
Alger Small Cap Growth Portfolio,307517.03,149071116.59
Alger Spectra Fund,212362391.48,3222471904.13
Alger Weatherbie Enduring Growth Fund,40539.82,4674458.93
Alger Weatherbie Specialized Growth Fund,5626025.0,759226889.86
Alger Weatherbie Specialized Growth Portfolio,26214.42,1174742.48
AllianceBernstein Global High Income Fund Inc,38300930.41,932897926.92
AllianzIM U.S. Large Cap 6 Month Buffer10 Apr/Oct ETF,1340940.77,36418642.32
AllianzIM U.S. Large Cap Buffer10 Apr ETF,592476.74,19227964.75
AllianzIM U.S. Large Cap Buffer10 Dec ETF,796210.29,24040537.47
AllianzIM U.S. Large Cap Buffer10 Feb ETF,0.0,5000000.0
AllianzIM U.S. Large Cap Buffer10 Jan ETF,2867146.02,79987301.91
AllianzIM U.S. Large Cap Buffer10 Nov ETF,475020.29,18221937.68
AllianzIM U.S. Large Cap Buffer10 Oct ETF,2101082.25,70390940.24
AllianzIM U.S. Large Cap Buffer20 Apr ETF,727410.16,63709571.67
AllianzIM U.S. Large Cap Buffer20 Dec ETF,3090688.25,106573502.7
AllianzIM U.S. Large Cap Buffer20 Feb ETF,0.0,5000000.0
AllianzIM U.S. Large Cap Buffer20 Jan ETF,5274999.44,104106803.66
AllianzIM U.S. Large Cap Buffer20 Jul ETF,4421682.59,136580673.82
AllianzIM U.S. Large Cap Buffer20 Nov ETF,1245049.71,37803293.02
AllianzIM U.S. Large Cap Buffer20 Oct ETF,10446651.9,172407206.92
Allspring Adjustable Rate Government Fund,838890.66,392346218.84
Allspring Alternative Risk Premia Fund,1149208.66,40212790.93
Allspring Asset Allocation Fund,1903537.33,1406480850.95
Allspring Bloomberg US Aggregate ex-Corporate Portfolio,3991632.63,265743210.1
Allspring C&B Large Cap Value Fund,33138.68,232662850.87
Allspring C&B Mid Cap Value Fund,315457.6,362995557.14
Allspring California Limited-Term Tax-Free fund,7798125.29,440891983.93
Allspring California Tax-Free Fund,3581425.31,757970717.77
Allspring Common Stock Fund,9745783.2,831620707.25
Allspring Conservative Income Fund,5773087.75,271110153.59
Allspring Core Bond Fund,10811946.26,4274126948.69
Allspring Core Bond Portfolio,390744681.53,4871564482.6
Allspring Core Plus Bond Fund,192584909.76,2960156793.55
Allspring Disciplined International Developed Markets Portfolio,1923626.7,146327329.5
Allspring Disciplined Large Cap Portfolio,84419.84,228635323.24
Allspring Disciplined U.S. Core Fund,690541.06,884739325.13
Allspring Discovery Large Cap Growth Fund,74207.24,183414386.67
Allspring Discovery Mid Cap Growth Fund,753956.37,574892679.27
Allspring Discovery SMID Cap Growth Fund,3857121.63,1315569457.6
Allspring Discovery Small Cap Growth Fund,7993842.5,113626225.81
Allspring Diversified Capital Builder Fund,4501306.05,1003671691.61
Allspring Diversified Large Cap Growth Portfolio,332826.2,187460537.57
Allspring Dynamic Target 2020 Fund,99062.21,145865516.44
Allspring Dynamic Target 2025 Fund,69113.84,97415734.98
Allspring Dynamic Target 2030 Fund,127963.42,240093471.73
Allspring Dynamic Target 2035 Fund,74624.66,116091287.73
Allspring Dynamic Target 2040 Fund,131185.62,249621920.37
Allspring Dynamic Target 2045 Fund,53193.26,55939368.03
Allspring Dynamic Target 2050 Fund,52657.15,93885904.14
Allspring Dynamic Target 2060 Fund,22698.24,12377842.72
Allspring Dynamic Target Today Fund,63925.9,67595196.92
Allspring Emerging Growth Fund,150780.35,328426031.92
Allspring Emerging Growth Portfolio,9849961.84,375095008.98
