SERIES_NAME,INTRST_RATE_CHANGE_30YR_DV01
First Trust Preferred Securities and Income ETF,179540.81864006005
EQ/Core Plus Bond Portfolio,138405.6
Touchstone Funds Group Trust-Touchstone Active Bond Fund,35120.91371173879
"BlackRock Enhanced Government Fund, Inc.",10514.3
Pro-Blend Moderate Term Series,20040.72542
PIMCO Inflation Response Multi-Asset Fund,275128.87148
PGIM Active Aggregate Bond ETF,10932.497454
BlackRock High Yield Municipal Fund,977762.9
BlackRock Taxable Municipal Bond Trust,768188.51
Fidelity Series Corporate Bond Fund,110526.10803997
Bond Market Index Fund,287616.3445
PIMCO Mortgage Opportunities and Bond Fund,224458.65065
JPMorgan Global Allocation Fund,40065.06561
Delaware Ivy VIP Balanced,14107.67317
Goldman Sachs Core Fixed Income Fund,293882.17
Western Asset Investment Grade Defined Opportunity Trust Inc.,27160.25
AST Western Asset Emerging Markets Debt Portfolio,24972.44686
Ashmore Emerging Markets Total Return Fund,145307.42056056703
Northern Fixed Income Fund,136760.6021531738
Fidelity Advisor Mortgage Securities Fund,76894.54123627
Nuveen Ohio Quality Municipal Income Fund,52277.52
BrandywineGLOBAL - Flexible Bond Fund,18159.76529956
Government & High Quality Bond Fund,79898.7911
Managed Bond Portfolio,72411.68
Multi-Manager Total Return Bond Strategies Fund,20706.710276
Payden GNMA Fund,32241.43192
VIP Strategic Income Portfolio,166345.79051766
Schwab U.S. Aggregate Bond ETF,1493660.78
Six Circles Global Bond Fund,116790.144011
WesMark Government Bond Fund,11158.520316
AMG GW&K Core Bond ESG Fund,24852.0118
American Beacon AHL Managed Futures Strategy Fund,67310.63
PIMCO International Bond Fund (Unhedged),28293.910022
Balanced Fund,68847.0
JPMorgan Core Plus Bond ETF,54895.84405
EQ/Core Plus Bond Portfolio,21956.3
Fidelity Series Emerging Markets Debt Local Currency Fund,132926.425525
iShares 25+ Year Treasury STRIPS Bond ETF,875235.44
Stone Ridge Alternative Lending Risk Premium Fund,13892.6
Global Bond Fund,22216.0
Goldman Sachs Global Core Fixed Income Fund,38504.46
MassMutual Select T. Rowe Price Bond Asset Fund,87150.11
Western Asset Macro Opportunities Fund,24137.92
AQR Managed Futures Strategy Fund,36515.58983965
FlexShares Credit-Scored US Long Corporate Bond Index Fund,33361.0
Goldman Sachs Emerging Markets Debt Fund,240008.33
Metropolitan West Low Duration Bond Fund,11233.03721
iShares Core U.S. Aggregate Bond ETF,21392072.13
JPMorgan Diversified Fund,26813.58059
Fidelity Strategic Real Return Fund,32664.07110555
Western Asset Total Return ETF,15936.42
Federated Hermes Government Ultrashort Fund,14274.69149
Morningstar Global Income Fund,10698.860256429227
EQ/Quality Bond PLUS Portfolio,79561.97
ProShares S&P 500 Bond ETF,11485.717489
IQ MacKay Municipal Insured ETF,78723.52764
Payden High Income Fund,25983.92984
PSF PGIM Government Income Portfolio,40010.38563
Axonic Strategic Income Fund,11545.577906
PIMCO International Bond Portfolio (U.S. Dollar-Hedged),25690.923126
T. Rowe Price Dynamic Global Bond Fund,446608.132401
Core Bond Series,52169.5909
Nuveen North Carolina Municipal Bond Fund,77187.15
Bridge Builder Core Plus Bond Fund,6571743.096502
Destra Flaherty & Crumrine Preferred Dividend and Income Fund,59836.77706679564
Nuveen Intermediate Duration Quality Municipal Term Fund,13968.62
Northern Bond Index Fund,573048.3884225845
Braddock Multi-Strategy Income Fund,20349.941120938463
NVIT Government Bond Fund,58872.269854
Nuveen California Quality Municipal Income Fund,569541.96
PIMCO Investment Grade Credit Bond Portfolio,80794.931506
iShares International Treasury Bond ETF,38685.4
Goldman Sachs Investment Grade Credit Fund,168618.34
BlackRock Strategic Income Opportunities Portfolio,1890696.75
Delaware Ivy Municipal High Income Fund,329913.69154
PIMCO REALPATH Blend Income Fund,24682.616342
Goldman Sachs Dynamic Municipal Income Fund,474746.21
Delaware Ivy Municipal Bond Fund,168241.8626
Fidelity Mortgage Backed Securities Central Fund,131068.39365157
"BlackRock MuniYield Fund, Inc.",493173.65
MML Managed Bond Fund,247722.69
Putnam Dynamic Asset Allocation Conservative Fund,90272.57
Strategic Advisers Core Income Fund,3196432.06894467
BrandywineGLOBAL - Global Opportunities Bond Fund,245127.73511033
Delaware Diversified Income Fund,426171.27704
Fidelity Corporate Bond ETF,68273.2
Touchstone Strategic Trust-Touchstone Strategic Income Opportunities Fund,34611.91000286625
Stone Harbor Emerging Markets Income Fund,720614.016708
iShares International Treasury Bond ETF,149966.34
PIMCO International Bond Portfolio (U.S. Dollar-Hedged),50133.521002
Sterling Capital Total Return Bond Fund,228730.26155
PIMCO High Yield Fund,18748.24682
Delaware Tax-Free California Fund,29119.02277
BATS Series C,149349.61
Emerging Markets Bond Portfolio,10072.52324660132
PGIM Strategic Bond Fund,132050.00841
DoubleLine Global Bond Fund,12155.0
Global Bond Fund,115830.0
JPMorgan Global Allocation Fund,55003.52515
AST Preservation Asset Allocation Portfolio,18568.60502
Diversified Bond Fund,360224.0
PIMCO RealEstateRealReturn Strategy Fund,27610.221632
,34630.528524
Schwab California Tax-Free Bond Fund,17289.55
Variable Portfolio - Managed Volatility Growth Fund,12333.993316
Guggenheim Macro Opportunities Fund,203656.31335481
iShares Broad USD Investment Grade Corporate Bond ETF,1986938.54
AST Global Bond Portfolio,17689.5888
Six Circles Global Bond Fund,221050.487908
VP Inflation Protection Fund,149982.0
SA BlackRock VCP Global Multi Asset Portfolio,14747.12
PGIM Global Total Return Fund,325302.02061
First Trust/Dow Jones Dividend & Income Allocation Portfolio,107398.28874
Ashmore Emerging Markets Corporate Income Fund,21774.391871799045
iShares 10+ Year Investment Grade Corporate Bond ETF,1710757.78
Nuveen AMT-Free Municipal Value Fund,57620.74
Stone Harbor Emerging Markets Debt Fund,312361.140997
Fidelity Series International Developed Markets Bond Index Fund,329780.398324
Nuveen Arizona Municipal Bond Fund,22433.03
Nuveen New York Municipal Bond Fund,199207.63
Core Bond Portfolio,1291481.7829988014
Government Securities Fund,233366.21389379844
MassMutual High Yield Fund,10612.23
Short Duration Portfolio,51975.08
BATS Series E,169662.02
EQ/Core Plus Bond Portfolio,62563.15
Calamos Dynamic Convertible & Income Fund,10493.850937365858
AST Global Bond Portfolio,15683.1581
Metropolitan West High Yield Bond Fund,16494.18956
Angel Oak Strategic Credit Fund,16697.85
BrandywineGLOBAL - Global Opportunities Bond Fund,54593.88140418
BlackRock Municipal Income Trust,450785.11
Tax-Exempt Bond Fund,170206.7105
Fidelity SAI U.S. Treasury Bond Index Fund,3018566.8246178
Xtrackers Municipal Infrastructure Revenue Bond ETF,40060.42813
Fidelity International Credit Central Fund,17564.00802977
John Hancock GA Mortgage Trust,176569.98
Fidelity Total Bond K6 Fund,414572.52813069
AQR Managed Futures Strategy Fund,11953.41850134
First Trust TCW Opportunistic Fixed Income ETF,850601.32101
JOHNSON FIXED INCOME FUND,156958.51
Dunham Corporate/Government Bond Fund,16385.470822
Columbia Total Return Bond Fund,13285.242296
MEDIUM-DURATION BOND FUND,22415.79493837203
PIMCO Inflation Protected Bond Portfolio,100982.17
BlackRock Low Duration Bond Portfolio,47701.59
"BlackRock Corporate High Yield Fund, Inc.",22872.78
Baird Core Plus Bond Fund,5856503.14
Global Atlantic Franklin Dividend and Income Managed Risk Portfolio,10606.54251
PIMCO International Bond Fund (U.S. Dollar-Hedged),450272.775107
Great-West U.S. Government Securities Fund,98331.27240526816
VANGUARD INTERMEDIATE-TERM CORPORATE BOND INDEX FUND,20980.40030095
JPMorgan High Yield Research Enhanced ETF,24540.56226
Western Asset Intermediate Bond Fund,34597.04
Fidelity Maryland Municipal Income Fund,14117.232611
"BlackRock MuniYield Michigan Quality Fund, Inc.",182632.44
iShares Investment Grade Bond Factor ETF,40349.89
BNY Mellon Core Bond ETF,50158.84249
Delaware Tax-Free Arizona Fund,16083.0402
Nuveen All-American Municipal Bond Fund,2689371.14
BlackRock U.S. Government Bond Portfolio,10642.1
VOYA GLOBAL BOND FUND,14296.0
BlackRock National Municipal Fund,3426067.71
AlphaCentric Income Opportunities Fund,53012.806212
Finisterre Emerging Markets Total Return Bond Fund,143184.4407
Guggenheim Strategic Opportunities Fund,126235.26796716
,32054.01299
AST Preservation Asset Allocation Portfolio,34715.28617
Leadershares Dynamic Yield ETF,10294.604758
iShares Broad USD High Yield Corporate Bond ETF,29814.28
PGIM Global Total Return Fund,78005.53301
Nuveen Virginia Quality Municipal Income Fund,50054.77
U.S. Total Bond Index Master Portfolio,4113636.92
BlackRock Balanced Capital Portfolio,29478.86
Eventide Core Bond Fund,21520.057734
Payden Low Duration Fund,48316.41623
Pacific Funds Strategic Income,14673.04777
Morningstar Total Return Bond Fund,236146.8771338525
BlackRock California Municipal Opportunities Fund,569816.5
Delaware Ivy VIP Asset Strategy,23885.43155
Nuveen Quality Municipal Income Fund,1047258.31
AST Preservation Asset Allocation Portfolio,27660.93625
MassMutual Select T. Rowe Price Bond Asset Fund,14968.92
Baird Quality Intermediate Municipal Bond Fund,34096.7
VIP Investment Grade Bond Portfolio,1231521.84994562
Nuveen Colorado Municipal Bond Fund,53133.46
Global Bond Fund,16857.0
PIMCO CommodityRealReturn Strategy Fund,68427.860114
iShares International Treasury Bond ETF,107450.81
Municipal Total Return Managed Accounts Portfolio,213667.58
RiverNorth/DoubleLine Strategic Income Fund,243239.970224
Columbia Variable Portfolio - Intermediate Bond Fund,16176.56069
ALPS | Smith Total Return Bond Fund,345743.868585
Stone Harbor Local Markets Fund,19854.790293
PIMCO Active Bond Exchange-Traded Fund,334999.196967
BlackRock California Municipal Income Trust,272408.67
Northern Core Bond Fund,41669.83374069565
VANGUARD INTERMEDIATE-TERM INVESTMENT-GRADE FUND,12768.38243996
PIMCO Preferred and Capital Securities Fund,35599.613607
MassMutual Inflation-Protected and Income Fund,30934.89
Delaware Investments National Municipal Income Fund,83504.54843
Western Asset SMASh Series Core Plus Completion Fund,28540.37
BlackRock Dynamic High Income Portfolio,17790.76
PRAXIS IMPACT BOND FUND,115644.290483
Northern Intermediate Tax-Exempt Fund,191012.28082065505
Nuveen Minnesota Quality Municipal Income Fund,15514.18
,64848.49606
Putnam California Tax Exempt Income Fund,91600.71
SPIRIT OF AMERICA INCOME FUND,10936.235436
PGIM Core Bond Fund,257281.97588
Easterly Income Opportunity Fund,24969.077058
,84109.339972
Nuveen Missouri Municipal Bond Fund,69700.41
Fidelity Municipal Income Fund,594726.86728332
Pacer Trendpilot US Bond ETF,40973.57
Payden Emerging Markets Bond Fund,358729.4187
WESTWOOD HIGH INCOME FUND,10329.812286
BlackRock U.S. Mortgage Portfolio,38234.66
Fidelity Strategic Dividend and Income Fund,24719.2701048
"PGIM High Yield Bond Fund, Inc.",11326.5433
Stone Harbor Local Markets Fund,142716.623939
BlackRock Income Fund,218377.7
Payden Strategic Income Fund,17022.28267
Delaware Ivy VIP Corporate Bond,157983.28625
AMG GW&K ESG Bond Fund,116309.73876
RiverNorth Flexible Municipal Income Fund II Inc.,13960.493296
Metropolitan West Total Return Bond Fund,12727271.86297
JPMorgan Short Duration Core Plus Fund,11235.22831
AST Preservation Asset Allocation Portfolio,530493.18738
Dunham Long/Short Credit Fund,20034.008678
Fidelity Series International Developed Markets Bond Index Fund,34436.3119529
PIMCO All Asset: Multi-Real Fund,657469.386955
Western Asset Managed Municipals Fund Inc.,12681.33
EQ/Core Plus Bond Portfolio,63150.34
Stone Harbor Emerging Markets Income Fund,13204.762958
River Canyon Total Return Bond Fund,16733.288845429808
Allspring Managed Account CoreBuilder Shares - Series M,14895.70193521658
Payden Corporate Bond Fund,160871.1504
Intermediate-Term Tax-Free Bond Fund,136549.0
Loomis Sayles Strategic Alpha Fund,20522.7
Ultra-Short Duration Portfolio,35716.4
Navigator Tactical Fixed Income Fund,10869.872863
VOYA GLOBAL BOND PORTFOLIO,12847.0
iShares California Muni Bond ETF,209786.89
Goldman Sachs Global Core Fixed Income Fund,24935.18
ON Bond Portfolio,58310.93549207075
Nuveen California Municipal Value Fund,57455.49
JPMorgan Corporate Bond Research Enhanced ETF,16726.60255
Western Asset New York Municipals Fund,10040.95
PIMCO Global Bond Opportunities Fund (U.S. Dollar-Hedged),19173.092539
PIMCO All Asset All Authority Fund,316442.669929
Nuveen Municipal Credit Income Fund,774229.24
Northern High Yield Municipal Fund,220338.8527517392
BrandywineGLOBAL - Global Unconstrained Bond Fund,16476.05359888
NVIT Amundi Multi Sector Bond Fund,10564.254977
,23905.57995
Variable Portfolio - Moderate Portfolio,19061.503057
EQ/PIMCO Total Return ESG Portfolio,61735.64
Fidelity Series International Developed Markets Bond Index Fund,22739.6833421
First Trust Low Duration Opportunities ETF,176293.75453
Goldman Sachs Access Investment Grade Corporate Bond ETF,213867.34
Goldman Sachs Access U.S. Aggregate Bond ETF,39471.35
Fidelity Series 5+ Year Inflation-Protected Bond Index Fund,3397107.42638655
Nuveen Wisconsin Municipal Bond Fund,27419.98
BlackRock Inflation Protected Bond Portfolio,1151429.91
Fidelity Series Emerging Markets Debt Local Currency Fund,115740.973325
Nuveen Arizona Quality Municipal Income Fund,23766.74
1290 VT DoubleLine Opportunistic Bond Portfolio,203135.23
NVIT BNY Mellon Core Plus Bond Fund,610838.028821
UPAR Ultra Risk Parity ETF,22485.34
RiverNorth/DoubleLine Strategic Opportunity Fund Inc.,43288.71804
VANGUARD CORE BOND FUND,10352.122568
Thompson Bond Fund,76399.99
Western Asset Inflation Indexed Plus Bond Fund,20685.44
California Municipal Fund,158337.9178
Fidelity Capital and Income Fund,87683.37647346
PGIM Absolute Return Bond Fund,20803.60394
PIMCO Real Return Fund,2644713.319513
Western Asset Municipal High Income Fund,17299.35
Bridge Builder Core Plus Bond Fund,10335.428752
Western Asset Core Plus Bond Fund,3673524.28
iShares International Treasury Bond ETF,10319.79
AST Capital Growth Asset Allocation Portfolio,19763.995
Pioneer Multi-Asset Ultrashort Income Fund,47560.26
Delaware Extended Duration Bond Fund,340839.73851
AMG GW&K Municipal Bond Fund,12408.38493
Fidelity Inflation-Protected Bond Index Fund,2590941.6673689
PIMCO Long Duration Total Return Fund,1797203.636451
Fidelity Series Emerging Markets Debt Local Currency Fund,281394.0622
VOYA STRATEGIC INCOME OPPORTUNITIES FUND,23457.0
Global Macro Absolute Return Advantage Portfolio,34299.04
Six Circles Global Bond Fund,450306.016279
Managed Bond Portfolio,108750.42
PGIM Emerging Markets Debt Hard Currency Fund,27787.70456
ProShares Investment Grade-Interest Rate Hedged,468013.688478
Nuveen Kansas Municipal Bond Fund,22955.6
AST Core Fixed Income Portfolio,1299103.69189
Fidelity Series Long-Term Treasury Bond Index Fund,18445961.2557893
Core Plus Bond Fund,713223.4741344196
JPMorgan Insurance Trust Core Bond Portfolio,99201.65339
PIMCO REALPATH Blend 2030 Fund,31127.746107
American Beacon AHL Managed Futures Strategy Fund,51769.9
BlackRock New Jersey Municipal Bond Fund,61612.73
iShares USD Green Bond ETF,36104.32
Nuveen Minnesota Municipal Bond Fund,70838.25
NORTHEAST INVESTORS TRUST,11381.7
Government Long Bond 1.2x Strategy Fund,136125.98994038
Core Fixed Income Fund,2649575.5121
Sit Minnesota Tax-Free Income Fund,154532.1465
Fidelity Tax-Free Bond Fund,597038.72397249
"BlackRock MuniAssets Fund, Inc.",366073.42
iShares Fallen Angels USD Bond ETF,97242.79
AlphaSimplex Managed Futures Strategy Fund,74467.05
NVIT Short Term Bond Fund,25249.256514
Fidelity Long-Term Treasury Bond Index Fund,4998528.03441522
Nuveen Ohio Municipal Bond Fund,58577.78
iShares U.S. Treasury Bond ETF,4461330.69
Putnam Dynamic Asset Allocation Balanced Fund,122814.65
PGIM Short Duration Multi-Sector Bond Fund,22301.55292
"BlackRock MuniHoldings Fund, Inc.",589590.22
Global Bond Fund,22265.0
BlackRock New York Municipal Opportunities Fund,297946.39
Nuveen Pennsylvania Quality Municipal Income Fund,117901.13
PGIM Global Total Return Fund,167033.44613
Bond Market Index Account,879436.5955
Six Circles Global Bond Fund,584061.220196
Global Opportunities Portfolio,20972.68
iShares BBB Rated Corporate Bond ETF,23107.22
Core Plus Fund,98826.0
DoubleLine Long Duration Total Return Bond Fund,61575.0
Nuveen Kentucky Municipal Bond Fund,33131.45
Putnam VT George Putnam Balanced Fund,15295.93
iShares GNMA Bond ETF,46261.45
GuideMark Core Fixed Income Fund,75522.46
1919 Socially Responsive Balanced Fund,12321.77
iShares Core Total USD Bond Market ETF,3433775.32
Goldman Sachs U.S. Mortgages Fund,13069.71
American Century Diversified Municipal Bond ETF,14841.0
Nuveen Limited Term Municipal Bond Fund,74854.48
iShares International Treasury Bond ETF,16389.93
Delaware National High-Yield Municipal Bond Fund,551533.55139
iShares Core 10+ Year USD Bond ETF,310670.73
PIMCO Global Managed Asset Allocation Portfolio,13984.662598
PGIM Global Total Return Fund,26766.83118
,80186.199
PGIM Total Return Bond ETF,11074.252259
MassMutual Select T. Rowe Price Emerging Markets Bond Fund,28211.93
Nuveen California Municipal Bond Fund,446068.23
North Square McKee Bond Fund,12449.58
Amplify BlackSwan Growth & Treasury Core ETF,210772.91
Fidelity Massachusetts Municipal Income Fund,270105.2228825
VANGUARD SHORT-TERM INVESTMENT-GRADE FUND,115143.49673624
Goldman Sachs Global Core Fixed Income Fund,15097.2
Core Plus Bond Account,67078.5201
Delaware Ivy Balanced Fund,132994.90438
Transamerica PIMCO Total Return VP,109675.32
JPMorgan Income Builder Fund,93507.06734
EQ/PIMCO Real Return Portfolio,21128.87
Payden Emerging Markets Bond Fund,12932.89367
Great-West High Yield Bond Fund,10068.392794728456
Six Circles Global Bond Fund,11701.297412
Strategic Allocation: Conservative Fund,17002.0
First Trust Managed Municipal ETF,189806.42494001624
SBH COLORADO TAX FREE FUND,13125.105694
AB HIGH INCOME FUND INC,29145.02
AST T. Rowe Price Asset Allocation Portfolio,1163182.50223
Bridge Builder Core Bond Fund,3563976.67644
Global Bond Fund,61826.0
Dodge & Cox Global Bond Fund,67409.82
Fixed Income SHares: Series R,103729.559777
EQ/Core Plus Bond Portfolio,11623.37
Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,34546.0
PIMCO International Bond Fund (U.S. Dollar-Hedged),111946.711073
AST Balanced Asset Allocation Portfolio,24557.802
Fidelity Series International Developed Markets Bond Index Fund,819356.2424156
Strategic Advisers Fidelity Core Income Fund,2823043.33620877
High Income Fund,10453.0
Putnam Dynamic Asset Allocation Growth Fund,58523.62
EQ/Core Plus Bond Portfolio,31018.52
Payden Emerging Markets Bond Fund,11233.24761
BlackRock Capital Allocation Trust,39023.92
Fidelity New York Municipal Income Fund,277904.247343
PIMCO 25+ Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,949266.407951
Diversified Bond Portfolio,35448.35
CITY NATIONAL ROCHDALE FIXED INCOME OPPORTUNITIES FUND,30604.23943877
ON Risk Managed Balanced Portfolio,22301.205725296033
Spectrum Preferred and Capital Securities Income Fund,36445.6
PIA BBB Bond Fund,75531.4
BATS Series A,33865.23
DoubleLine Income Solutions Fund,220250.0
First Trust Municipal High Income ETF,106625.34150380731
Finisterre Emerging Markets Total Return Bond Fund,16506.0502
Multi-Strategy Income Fund,27613.75
PGIM Global Total Return Fund,20208.54445
Fidelity California Municipal Income Fund,184717.93468528
Goldman Sachs Bond Fund,73975.92
Multimanager Core Bond Portfolio,207179.25
Western Asset Managed Municipals Fund,63633.44
Fidelity Series International Developed Markets Bond Index Fund,57992.0668639
Fidelity SAI Total Bond Fund,4173985.91959944
Vident Core U.S. Bond Strategy ETF,62518.41
JOHNSON INSTITUTIONAL CORE BOND FUND,116354.08
"BlackRock MuniYield Quality Fund II, Inc.",161529.14
Advent Convertible and Income Fund,10272.89489281
Goldman Sachs Short Duration Tax-Free Fund,29271.58
